,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Rikitea,PF,78.55,Clouds,-23.1203,-134.9692,Chez Bianca & Benoit
20,Bathsheba,BB,79.05,Clouds,13.2167,-59.5167,Atlantis Hotel
29,Puerto Ayora,EC,78.55,Rain,-0.7393,-90.3518,Hostal La Mirada De Solitario George
31,Namibe,AO,75.94,Clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
32,Vaini,TO,80.8,Clouds,-21.2,-175.2,Keleti International Resort
35,Pisco,PE,78.71,Clouds,-13.7,-76.2167,La Portada
37,Kikwit,CD,78.66,Clouds,-5.041,18.8162,Grand Hôtel de Kikwit
42,Hithadhoo,MV,81.36,Clouds,-0.6,73.0833,Pebbles Inn
60,Cayenne,GF,77.04,Clouds,4.9333,-52.3333,Central Hôtel
71,Atuona,PF,78.64,Rain,-9.8,-139.0333,Pearl Resort
72,Mahebourg,MU,78.26,Clouds,-20.4081,57.7,Grand Bel Air
75,Pemangkat,ID,75.06,Rain,1.1667,108.9667,Hotel Kelapa Gading
82,San Andres,CO,79.29,Clouds,12.5847,-81.7006,Hotel Decameron Isleño
88,Vanimo,PG,77.27,Clouds,-2.6741,141.3028,CBC Guesthouse
89,Souillac,MU,79.54,Clouds,-20.5167,57.5167,Hotel SkylineInn
92,Castro,BR,83.14,Clear,-24.7911,-50.0119,Hotel Central Palace
95,Mar Del Plata,AR,80.83,Clouds,-38.0023,-57.5575,Nuevo Ostende
96,San Carlos De Bariloche,AR,78.24,Clear,-41.1456,-71.3082,Kronos
98,Santa Cruz,BO,87.85,Clouds,-17.8,-63.1667,Aviador Hotel Boutique
99,Necochea,AR,79.86,Clear,-38.5473,-58.7368,Cabañas Río Quequén
106,Zarumilla,PE,87.64,Clouds,-3.5031,-80.2731,Hotel L' Moned
107,Georgetown,MY,80.53,Clouds,5.4112,100.3354,Page 63 hostel
115,Cockburn Town,TC,76.21,Clouds,21.4612,-71.1419,The Salt Raker Inn
116,Wewak,PG,78.51,Clouds,-3.5534,143.6268,Village Inn
120,Sibolga,ID,75.69,Rain,1.7427,98.7792,Hotel Prima Indah
121,Grand Gaube,MU,78.39,Clouds,-20.0064,57.6608,Coco Villa
135,Bengkulu,ID,76.21,Rain,-3.8004,102.2655,Dena Hotel
138,Saint-Philippe,RE,80.19,Clouds,-21.3585,55.7679,Le Baril
141,Pochutla,MX,88.83,Clear,15.7432,-96.4661,Posada San Jose
