,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Penasco,MX,31.3167,-113.5333,55.9,57,91,8.99,Clouds
1,Qaanaaq,GL,77.484,-69.3632,-3.28,59,7,9.04,Clear
2,Muriae,BR,-21.1306,-42.3664,85.71,68,93,1.1,Clouds
3,Punta Arenas,CL,-53.15,-70.9167,64.11,42,72,21.27,Clouds
4,Buala,SB,-8.145,159.5921,78.78,81,79,1.19,Rain
5,Rikitea,PF,-23.1203,-134.9692,78.55,74,57,11.48,Clouds
6,Cabo San Lucas,MX,22.8909,-109.9124,74.61,64,93,6.4,Clouds
7,Mataura,NZ,-46.1927,168.8643,48.81,97,0,1.3,Clear
8,Moron,AR,-34.6534,-58.6198,91.96,63,0,3.83,Clear
9,Lebu,CL,-37.6167,-73.65,65.28,61,0,21.36,Clear
10,Eureka,US,40.8021,-124.1637,47.57,92,23,1.01,Clouds
11,Narsaq,GL,60.9167,-46.05,19.06,69,100,21.09,Clouds
12,Kuito,AO,-12.3833,16.9333,58.6,94,100,3.06,Clouds
13,Cape Town,ZA,-33.9258,18.4232,66.11,55,20,25.32,Clouds
14,Codrington,AU,-38.2667,141.9667,60.1,96,100,8.77,Rain
15,Half Moon Bay,US,37.4636,-122.4286,55.45,89,75,3.44,Mist
16,Konevo,RU,62.1215,39.3192,20.26,87,100,12.19,Clouds
17,Albany,US,42.6001,-73.9662,45.36,55,37,1.01,Clouds
18,Ushuaia,AR,-54.8,-68.3,61.57,45,9,9.48,Clear
19,Sao Filipe,CV,14.8961,-24.4956,74.77,70,32,12.19,Clouds
20,Bathsheba,BB,13.2167,-59.5167,79.05,58,62,14.14,Clouds
21,Kapaa,US,22.0752,-159.319,68.18,82,73,1.01,Clouds
22,Torrox,ES,36.7579,-3.9523,53.4,75,22,2.82,Clouds
23,Bluff,NZ,-46.6,168.3333,56.82,82,27,7.34,Clouds
24,Bethel,US,41.3712,-73.414,50.36,47,29,4.0,Clouds
25,Ulladulla,AU,-35.35,150.4667,70.23,96,83,4.92,Clouds
26,Busselton,AU,-33.65,115.3333,56.95,74,30,13.69,Clouds
27,Prince Rupert,CA,54.3161,-130.3201,32.09,100,40,4.61,Clouds
28,Butaritari,KI,3.0707,172.7902,81.01,78,13,24.9,Clouds
29,Puerto Ayora,EC,-0.7393,-90.3518,78.55,91,54,5.99,Rain
30,Kruisfontein,ZA,-34.0033,24.7314,61.88,79,93,16.42,Rain
31,Namibe,AO,-15.1961,12.1522,75.94,81,93,9.28,Clouds
32,Vaini,TO,-21.2,-175.2,80.8,77,63,7.02,Clouds
33,Okhotsk,RU,59.3833,143.3,-12.48,84,100,10.76,Clouds
34,Hilo,US,19.7297,-155.09,71.28,94,100,1.99,Rain
35,Pisco,PE,-13.7,-76.2167,78.71,62,84,8.7,Clouds
36,Foam Lake,CA,51.65,-103.5343,-13.32,96,83,12.15,Clouds
37,Kikwit,CD,-5.041,18.8162,78.66,69,95,0.94,Clouds
38,Bambous Virieux,MU,-20.3428,57.7575,78.22,85,81,4.36,Clouds
39,Thompson,CA,55.7435,-97.8558,-11.4,86,92,10.47,Clouds
40,Khatanga,RU,71.9667,102.5,-26.0,90,26,8.79,Clouds
41,Tuktoyaktuk,CA,69.4541,-133.0374,-14.51,95,24,10.16,Clouds
42,Hithadhoo,MV,-0.6,73.0833,81.36,77,75,12.73,Clouds
43,Aklavik,CA,68.2191,-135.0107,-13.09,94,60,15.52,Clouds
44,Barrow,US,71.2906,-156.7887,-9.38,77,75,11.5,Clouds
45,Kursumlija,RS,43.1458,21.2686,29.57,99,99,3.42,Clouds
46,Ottawa,CA,45.4112,-75.6981,34.09,72,100,19.57,Clouds
47,Ponta Do Sol,PT,32.6667,-17.1,62.71,66,83,7.07,Clouds
48,Yakeshi,CN,49.2833,120.7333,-18.18,100,97,0.43,Clouds
49,Samarai,PG,-10.6167,150.6667,82.51,78,70,10.11,Clouds
50,Flinders,AU,-34.5833,150.8552,75.38,91,88,5.01,Clouds
51,Saint-Francois,FR,46.4154,3.9054,36.84,72,100,9.22,Clouds
52,Shimoda,JP,34.6667,138.95,34.11,69,8,21.61,Clear
53,Lethem,GY,3.3803,-59.7968,93.27,31,8,8.66,Clear
54,Hermanus,ZA,-34.4187,19.2345,64.8,68,100,16.4,Clouds
55,Dingli,MT,35.8614,14.3822,46.56,81,75,17.27,Rain
56,Cherskiy,RU,68.75,161.3,-19.98,95,100,2.95,Clouds
57,Yellowknife,CA,62.456,-114.3525,-13.45,68,45,11.99,Clouds
58,Umm Bab,QA,25.2142,50.8072,61.21,55,0,13.73,Clear
59,Kodiak,US,57.79,-152.4072,33.31,93,100,5.75,Fog
60,Cayenne,GF,4.9333,-52.3333,77.04,83,75,10.36,Clouds
61,Bredasdorp,ZA,-34.5322,20.0403,62.76,60,100,12.08,Clouds
62,Westport,US,41.1415,-73.3579,52.36,46,29,8.01,Clouds
63,Mbanza-Ngungu,CD,-5.25,14.8667,70.48,92,51,4.21,Rain
64,Port Alfred,ZA,-33.5906,26.891,66.18,94,47,5.99,Rain
65,La Ronge,CA,55.1001,-105.2842,-6.66,87,100,14.18,Clouds
66,Palmer,US,42.1584,-72.3287,48.92,42,23,5.01,Clouds
67,Klaksvik,FO,62.2266,-6.589,43.72,83,100,29.39,Clouds
68,Makakilo City,US,21.3469,-158.0858,68.68,83,100,11.5,Clouds
69,Frunze,UA,48.6686,38.7544,29.71,82,99,11.9,Clouds
70,Mulki,IN,13.1,74.8,78.08,83,52,3.44,Clouds
71,Atuona,PF,-9.8,-139.0333,78.64,79,93,20.78,Rain
72,Mahebourg,MU,-20.4081,57.7,78.26,85,79,3.71,Clouds
73,Beloha,MG,-25.1667,45.05,78.42,76,100,24.16,Clouds
74,Birao,CF,10.2849,22.7882,81.55,12,88,5.7,Clouds
75,Pemangkat,ID,1.1667,108.9667,75.06,95,100,9.22,Rain
76,Lamar,US,33.6668,-95.5836,54.36,93,100,10.36,Clouds
77,Corinto,GR,37.9407,22.9573,46.89,75,43,1.63,Clouds
78,Ocos,GT,14.5094,-92.1933,83.46,63,60,9.33,Clouds
79,Darbhanga,IN,26.1667,85.9,58.35,62,0,6.53,Clear
80,Airai,TL,-8.9266,125.4092,61.09,93,94,1.45,Clouds
81,Seoul,KR,37.5683,126.9778,18.84,71,0,2.3,Clear
82,San Andres,CO,12.5847,-81.7006,79.29,73,75,22.24,Clouds
83,La Belgica,BO,-17.55,-63.2167,91.09,48,94,7.23,Clouds
84,Pevek,RU,69.7008,170.3133,-1.77,93,100,4.21,Clouds
85,Tura,IN,25.5198,90.2201,61.02,48,4,2.13,Clear
86,Tartus,SY,34.889,35.8866,60.06,74,97,6.73,Clouds
87,Ribeira Grande,PT,38.5167,-28.7,61.2,67,40,13.8,Clouds
88,Vanimo,PG,-2.6741,141.3028,77.27,90,94,3.4,Clouds
89,Souillac,MU,-20.5167,57.5167,79.54,87,83,5.39,Clouds
90,Tanabe,JP,33.7333,135.3667,37.26,66,74,15.75,Clouds
91,Aksarka,RU,66.5606,67.7975,-2.74,100,100,1.66,Clouds
92,Castro,BR,-24.7911,-50.0119,83.14,42,1,5.86,Clear
93,Maple Creek,CA,49.9168,-109.4848,0.7,85,99,11.95,Clouds
94,Sosva,RU,59.1766,61.8558,6.24,93,11,6.08,Clouds
95,Mar Del Plata,AR,-38.0023,-57.5575,80.83,91,60,5.99,Clouds
96,San Carlos De Bariloche,AR,-41.1456,-71.3082,78.24,38,0,6.42,Clear
97,Havre-Saint-Pierre,CA,50.2334,-63.5986,27.7,81,100,23.29,Clouds
98,Santa Cruz,BO,-17.8,-63.1667,87.85,66,75,9.22,Clouds
99,Necochea,AR,-38.5473,-58.7368,79.86,55,7,15.1,Clear
100,Kahului,US,20.8947,-156.47,69.84,96,100,6.91,Rain
101,Tazovskiy,RU,67.4667,78.7,3.85,97,100,2.64,Clouds
102,Arraial Do Cabo,BR,-22.9661,-42.0278,87.66,70,40,10.36,Clouds
103,Mao,ES,39.8885,4.2658,46.96,71,75,24.16,Clouds
104,Tokur,RU,53.1333,132.9,-39.41,100,89,2.57,Clouds
105,Pingliang,CN,35.5392,106.6861,26.8,20,1,2.59,Clear
106,Zarumilla,PE,-3.5031,-80.2731,87.64,65,40,14.97,Clouds
107,Georgetown,MY,5.4112,100.3354,80.53,65,20,9.22,Clouds
108,Aksarayskiy,RU,46.7924,48.0119,28.15,72,8,8.46,Clear
109,Fallon,US,39.4735,-118.7774,37.45,69,0,5.79,Clear
110,Upernavik,GL,72.7868,-56.1549,-1.23,92,100,1.72,Clouds
111,Port Lincoln,AU,-34.7333,135.8667,64.08,92,100,16.6,Clouds
112,Keti Bandar,PK,24.1447,67.4497,66.92,38,14,11.03,Clouds
113,Katherine,AU,-14.4667,132.2667,79.12,89,75,8.05,Rain
114,Saldanha,ZA,-33.0117,17.9442,62.74,75,42,33.04,Clouds
115,Cockburn Town,TC,21.4612,-71.1419,76.21,62,76,19.37,Clouds
116,Wewak,PG,-3.5534,143.6268,78.51,85,88,1.5,Clouds
117,Abalak,RU,58.1286,68.5944,10.02,97,92,5.95,Clouds
118,Teya,RU,60.3778,92.6267,6.15,98,100,3.56,Clouds
119,Iqaluit,CA,63.7506,-68.5145,-41.04,88,24,2.68,Clouds
120,Sibolga,ID,1.7427,98.7792,75.69,87,100,3.29,Rain
121,Grand Gaube,MU,-20.0064,57.6608,78.39,84,83,6.62,Clouds
122,Qui Nhon,VN,13.7667,109.2333,68.45,82,99,18.7,Clouds
123,Ponta Delgada,PT,37.7333,-25.6667,57.92,77,75,14.97,Clouds
124,Sayat,TM,38.7839,63.8803,32.68,64,94,6.42,Clouds
125,Ancud,CL,-41.8697,-73.8203,64.67,68,20,9.37,Clouds
126,Sistranda,NO,63.7256,8.834,35.56,87,100,33.2,Rain
127,Russellville,US,35.2784,-93.1338,53.98,51,100,8.99,Clouds
128,Guerrero Negro,MX,27.9769,-114.0611,62.87,41,95,4.43,Clouds
129,Alice Springs,AU,-23.7,133.8833,74.75,94,93,6.91,Clouds
130,Hobart,AU,-42.8794,147.3294,61.05,82,100,2.3,Clouds
131,Vestmanna,FO,62.1564,-7.1664,41.92,87,100,19.57,Rain
132,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,25.93,82,99,13.85,Clouds
133,Port Elizabeth,ZA,-33.918,25.5701,64.09,99,72,3.0,Rain
134,Dodge City,US,37.7528,-100.0171,46.22,65,0,11.5,Clear
135,Bengkulu,ID,-3.8004,102.2655,76.21,88,100,10.8,Rain
136,Jamestown,US,42.097,-79.2353,35.24,60,0,12.66,Clear
137,Broome,US,42.2506,-75.833,42.35,50,0,16.11,Clear
138,Saint-Philippe,RE,-21.3585,55.7679,80.19,90,100,1.32,Clouds
139,Raudeberg,NO,61.9875,5.1352,41.67,19,99,18.12,Clouds
140,Longyearbyen,SJ,78.2186,15.6401,24.64,68,40,21.85,Clouds
141,Pochutla,MX,15.7432,-96.4661,88.83,37,0,8.32,Clear
142,Champerico,GT,14.3,-91.9167,91.94,57,70,8.34,Clouds
143,Kalaleh,IR,37.3807,55.4916,46.29,37,0,8.43,Clear
144,Sechura,PE,-5.5569,-80.8222,82.85,55,90,11.92,Clouds
145,Vilyuysk,RU,63.7553,121.6247,-59.46,100,65,2.75,Clouds
146,Scottsdale,US,33.5092,-111.899,60.84,34,0,5.99,Clear
147,Dudinka,RU,69.4058,86.1778,1.18,97,97,7.72,Clouds
148,Mapastepec,MX,15.4333,-92.9,92.97,31,40,7.34,Clouds
149,Dorado,PR,18.4588,-66.2677,81.52,68,40,18.41,Clouds
150,Provideniya,RU,64.3833,-173.3,19.54,96,100,2.1,Clouds
151,Beckley,US,37.7782,-81.1882,50.09,49,0,10.36,Clear
152,Rio Gallegos,AR,-51.6226,-69.2181,74.44,27,21,13.76,Clouds
153,Sassandra,CI,4.95,-6.0833,81.63,77,27,6.78,Rain
154,Aykhal,RU,66.0,111.5,-33.39,100,99,4.14,Clouds
155,Ouesso,CG,1.6136,16.0517,80.82,52,94,1.19,Clouds
156,Terrasini,IT,38.146,13.0844,51.22,77,20,5.75,Clouds
157,Saint George,US,37.1041,-113.5841,44.44,57,0,1.99,Clear
158,Avera,US,33.194,-82.5271,59.56,44,59,5.01,Clouds
159,Chicama,PE,-7.8447,-79.1469,70.34,57,100,9.69,Clouds
160,Pangnirtung,CA,66.1451,-65.7125,-38.43,95,99,3.85,Clouds
161,Castres,FR,43.5833,2.1667,39.81,74,100,6.91,Clouds
162,Taywarah,AF,33.35,64.4167,11.61,97,97,2.71,Clouds
163,Coihaique,CL,-45.5752,-72.0662,74.01,46,40,11.5,Clouds
164,Severo-Kurilsk,RU,50.6789,156.125,24.66,81,100,13.8,Snow
